Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50
0.5138888888888888,18.4,0.4305555555555556
0.5416666666666666,18.4,0.4444444444444444
0.4677777777777778,17.0,0.4538888888888889
0.375,17.3,0.3544444444444444
0.3222222222222222,18.1,0.315
0.55,16.6,0.7777777777777778
0.58,19.2,0.7777777777777778
0.6016666666666667,17.3,0.5880555555555556
0.4055555555555555,16.7,0.3983333333333333
0.3722222222222222,16.0,0.3888888888888889
0.4111111111111111,14.3,0.3705555555555555
0.4222222222222222,15.5,0.3427777777777778
0.4294444444444444,15.5,0.3472222222222222
0.4072222222222222,15.1,0.2961111111111111
0.3888888888888889,14.2,0.2961111111111111
0.3333333333333333,15.0,0.2961111111111111
0.3127777777777777,17.5,0.25
0.2744444444444445,14.5,0.25
0.2455555555555555,16.4,0.2572222222222222
0.2405555555555555,16.0,0.2638888888888889
0.2294444444444444,17.8,0.2361111111111111
0.2405555555555555,17.5,0.25
0.2055555555555555,18.3,0.2316666666666666
0.2016666666666666,18.9,0.2405555555555555
0.1877777777777777,20.6,0.315
0.2016666666666666,18.8,0.3415
0.2155555555555555,19.3,0.2638888888888889
0.2022222222222221,18.8,0.2394444444444444
0.1888888888888888,19.5,0.2777777777777778
0.2294444444444444,19.8,0.3472222222222222
0.3194444444444444,20.4,0.4166666666666667
0.3405555555555555,20.7,0.3544444444444444
0.4627777777777778,21.3,0.359074074074074
0.4499999999999999,21.2,0.3637037037037036
0.3727777777777777,21.1,0.3683333333333333
0.4072222222222222,22.4,0.4027777777777778
0.4072222222222222,22.5,0.2777777777777778
0.4416666666666666,21.3,0.3238888888888889
0.4872222222222222,22.2,0.4538888888888889
0.4305555555555556,21.9,0.4583333333333333
0.3572222222222222,20.6,0.3516666666666667
0.3266666666666666,22.1,0.3516666666666667
0.4305555555555556,21.9,0.3472222222222222
0.5161111111111111,21.4,0.2583333333333333
0.4905555555555556,23.4,0.3299999999999999
0.4072222222222222,22.6,0.3888888888888889
0.4277777777777778,22.5,0.4516666666666667
0.4811111111111111,22.8,0.3983333333333333
0.5344444444444444,20.9,0.4227777777777778
0.6183333333333334,21.0,0.5211111111111112
0.5522222222222222,20.0,0.5138888888888888
0.6611111111111111,17.4,0.5416666666666666
0.6155555555555555,20.5,0.4677777777777778
0.5555555555555556,19.6,0.375
0.4777777777777777,17.7,0.3222222222222222
0.3683333333333333,18.4,0.55
0.3433333333333332,16.0,0.58
0.3183333333333333,17.0,0.6016666666666667
0.2933333333333333,17.7,0.4055555555555555
0.25,17.6,0.3722222222222222
0.2544444444444445,16.4,0.4111111111111111
